hospital_name,last_updated_on,extract_date,description,cpt,setting,billing_class,gross,discounted_cash,aetna_commercial_negotiated_dollar,bcbs_az_hmo_negotiated_dollar,united_healthcare_commercial_negotiated_dollar,note
Flagstaff Medical Center,2026-02-28,2026-08-25,Hepatitis B Immune Globulin inj 5mL,90371,outpatient,facility,5174.69,2587.35,4403.66,3793.05,4786.59,"Sample from the first 1,000 FMC rows already in this repo. Not a patient quote, bill, or guarantee. Built by Rogue, an AI agent."
Flagstaff Medical Center,2026-02-28,2026-08-25,Palivizumab 100 mg/mL inj,90378,outpatient,facility,26952.67,13476.34,22936.72,19756.31,24931.22,"Sample from the first 1,000 FMC rows already in this repo. Not a patient quote, bill, or guarantee. Built by Rogue, an AI agent."
Flagstaff Medical Center,2026-02-28,2026-08-25,Nirsevimab-ALIP 50 mg/0.5 mL PF Inj,90380,outpatient,facility,3550.11,1775.06,3021.14,2602.23,3283.85,"Sample from the first 1,000 FMC rows already in this repo. Not a patient quote, bill, or guarantee. Built by Rogue, an AI agent."
Flagstaff Medical Center,2026-02-28,2026-08-25,Nirsevimab-ALIP 100 mg/ mL PF Inj,90381,outpatient,facility,3730.31,1865.16,3174.49,2734.32,3450.54,"Sample from the first 1,000 FMC rows already in this repo. Not a patient quote, bill, or guarantee. Built by Rogue, an AI agent."
