awardee,uei,amount,piid,awarding_agency,awarding_sub_agency,awarding_office,naics,pop_city,pop_state,pop_country,action_date,start_date,end_date,description,source_url,generated_unique_award_id
RELI GROUP INC,ZZEFBLYZN5B1,3957776.39,75N98126F00001,Department of Health and Human Services,National Institutes of Health,NIH NITAA DITA-DVI OF INFO TECH ACQ,541512 — Computer Systems Design Services,CATONSVILLE,MD,UNITED STATES,2026-08-27,2026-02-15,2027-02-14,INFORMATION TECHNOLOGY CYBERSECURITY PROGRAM SUPPORT SERVICES (ITCPSS),https://www.usaspending.gov/award/CONT_AWD_75N98126F00001_7529_75N98119D00027_7529,CONT_AWD_75N98126F00001_7529_75N98119D00027_7529
"AQUILENT, INC.",LKBNKN1EA6J1,3554895.93,HHSP23337046,Department of Health and Human Services,Office of the Assistant Secretary for Administration,PROGRAM SUPPORT CENTER ACQ MGMT SVC,541512 — Computer Systems Design Services,WASHINGTON,DC,UNITED STATES,2026-08-27,2015-08-20,2017-08-25,IGF::CT::IGF,https://www.usaspending.gov/award/CONT_AWD_HHSP23337046_7555_HHSP233201300057B_7555,CONT_AWD_HHSP23337046_7555_HHSP233201300057B_7555
"UNIQNET S3, LLC",QSREUPJ3Q6Z5,3208567.68,75N93025F00252,Department of Health and Human Services,National Institutes of Health,NATIONAL INSTITUTES OF HEALTH NIAID,541512 — Computer Systems Design Services,BETHESDA,MD,UNITED STATES,2026-08-27,2025-09-30,2027-09-29,"COLLECTION OF ALTERNATIVE METHODS FOR REGULATORY APPLICATION (CAMERA) DATABASE AND WEB APPLICATION DEVELOPMENT AND SUPPORT, BASE YEAR, PERIOD OF PERFORMANCE 09/30/2025-09/28/2026",https://www.usaspending.gov/award/CONT_AWD_75N93025F00252_7529_47QTCB22D0415_4732,CONT_AWD_75N93025F00252_7529_47QTCB22D0415_4732
AUDACIOUS INQUIRY LLC,R1XUKGWGLBD7,3003152.85,75P00119F80100,Department of Health and Human Services,Office of the Assistant Secretary for Administration,PROGRAM SUPPORT CENTER ACQ MGMT SVC,541512 — Computer Systems Design Services,WASHINGTON,DC,UNITED STATES,2026-08-25,2019-05-31,2024-05-31,ONC TRACKING PLATFORM,https://www.usaspending.gov/award/CONT_AWD_75P00119F80100_7570_HHSM500201700010I_7530,CONT_AWD_75P00119F80100_7570_HHSM500201700010I_7530
STRATEGIC OPERATIONAL SOLUTIONS INC,FCJYHNPMDK55,2972832.46,70FA3123F00000052,Department of Homeland Security,Federal Emergency Management Agency,INFORMATION TECHNOLOGY DEVELOPMENT AND SUSTAINMENT,541512 — Computer Systems Design Services,DENTON,TX,UNITED STATES,2026-08-24,2023-07-12,2026-01-12,FUSION CENTER SUPPORT,https://www.usaspending.gov/award/CONT_AWD_70FA3123F00000052_7022_47QTCH18D0059_4732,CONT_AWD_70FA3123F00000052_7022_47QTCH18D0059_4732
AUDACIOUS INQUIRY LLC,R1XUKGWGLBD7,2733285.18,75P00119F80208,Department of Health and Human Services,Office of the Assistant Secretary for Administration,PROGRAM SUPPORT CENTER ACQ MGMT SVC,541512 — Computer Systems Design Services,WASHINGTON,DC,UNITED STATES,2026-08-27,2019-09-30,2020-09-29,IZGATEWAY,https://www.usaspending.gov/award/CONT_AWD_75P00119F80208_7570_HHSM500201700010I_7530,CONT_AWD_75P00119F80208_7570_HHSM500201700010I_7530
WILLIAMS CONSULTING LLC,CLDPGB3AAN49,2698782.49,75P00125F80152,Department of Health and Human Services,Office of the Assistant Secretary for Financial Resources,OMAS STRATEGIC BUYING CENTER - HHS MISSION,541512 — Computer Systems Design Services,CATONSVILLE,MD,UNITED STATES,2026-08-27,2025-09-30,2026-09-29,THE NATIONAL BREASTFEEDING HELPLINE,https://www.usaspending.gov/award/CONT_AWD_75P00125F80152_7570_GS35F227DA_4732,CONT_AWD_75P00125F80152_7570_GS35F227DA_4732
VIM ASSOCIATES INC,RLQHCAUZFQY3,2204627.72,75D30124C19054,Department of Health and Human Services,Centers for Disease Control and Prevention,CDC OFFICE OF ACQUISITION SERVICES,541512 — Computer Systems Design Services,SAN ANTONIO,TX,UNITED STATES,2026-08-28,2024-09-20,2027-08-31,NATIONAL ALS REGISTRY WEB PORTAL SUPPORT,https://www.usaspending.gov/award/CONT_AWD_75D30124C19054_7523_-NONE-_-NONE-,CONT_AWD_75D30124C19054_7523_-NONE-_-NONE-
ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,2141352.84,70T03026F7667N065,Department of Homeland Security,Transportation Security Administration,ENTERPRISE INFORMATION TECHNOLOGY,541512 — Computer Systems Design Services,ARLINGTON,VA,UNITED STATES,2026-08-27,2026-09-11,2027-09-10,IVS CALL ORDER FOR 12 MONTHS FROM BPA 70T03024A7667N004.,https://www.usaspending.gov/award/CONT_AWD_70T03026F7667N065_7013_70T03024A7667N004_7013,CONT_AWD_70T03026F7667N065_7013_70T03024A7667N004_7013
"ONEZERO SOLUTIONS, LLC",SL7JJ6EZN3Y3,1524284.56,70Z02322FBSX20002,Department of Homeland Security,U.S. Coast Guard,HQ CONTRACT OPERATIONS (CG-912)(000,541512 — Computer Systems Design Services,HERNDON,VA,UNITED STATES,2026-08-28,2022-09-28,2027-03-27,BARD (BOATING ACCIDENT REPORT DATABASE) SERVICES 8(A) STARS III GWAC CONTRACT: 47QTCB22D0065 / TO: 70Z02322FBSX20002 PERIOD OF PERFORMANCE: 28 SEP 2022 - 27 SEP 2027,https://www.usaspending.gov/award/CONT_AWD_70Z02322FBSX20002_7008_47QTCB22D0065_4732,CONT_AWD_70Z02322FBSX20002_7008_47QTCB22D0065_4732
METAPHASE CONSULTING LLC,ZH8ACM4ZWDL7,1424729.33,70CMSW26FR0000004,Department of Homeland Security,U.S. Immigration and Customs Enforcement,MISSION SUPPORT WASHINGTON,541512 — Computer Systems Design Services,WASHINGTON,DC,UNITED STATES,2026-08-28,2026-01-28,2027-01-27,THE PURPOSE OF THIS AWARD IS TO OBTAIN DATA MANAGEMENT PROFESSIONAL SUPPORT SERVICES FOR THE IMMIGRATION AND CUSTOMS ENFORCEMENT'S FINANCIAL DATA MODERNIZATION PROGRAM.,https://www.usaspending.gov/award/CONT_AWD_70CMSW26FR0000004_7012_47QTCB22D0095_4732,CONT_AWD_70CMSW26FR0000004_7012_47QTCB22D0095_4732
"HIGHPOINT DIGITAL, INC.",NLXHVL2Z2967,1384981.96,7571MN26F80085,Department of Health and Human Services,Office of the Assistant Secretary for Financial Resources,OMAS STRATEGIC BUYING CENTER - HHS MISSION,541512 — Computer Systems Design Services,INDIANAPOLIS,IN,UNITED STATES,2026-08-27,2026-08-27,2027-08-26,"FEDHEALTH IT SOFTWARE LICENSING, OPERATION, AND MAINTENANCE SERVICES FOR FOH",https://www.usaspending.gov/award/CONT_AWD_7571MN26F80085_7571_GS35F533GA_4732,CONT_AWD_7571MN26F80085_7571_GS35F533GA_4732
CLEARAVENUE LLC,TZJXKXNHDLX1,1289159.07,70FA3124F00000049,Department of Homeland Security,Federal Emergency Management Agency,INFORMATION TECHNOLOGY DEVELOPMENT AND SUSTAINMENT,541512 — Computer Systems Design Services,WASHINGTON,DC,UNITED STATES,2026-08-24,2024-07-23,2025-07-22,"FY24 - EMIS SUSTAINMENT AND DEVELOPMENT PR# WX04719Y2024T PERIOD OF PERFORMANCE (POP): BASE YEAR, PLUS TWO (2) 12-MONTH OPTION PERIODS. BASE YEAR: 07/1/2024 - 06/31/2025 OY1:07/1/2025-06/31/2026 OY2:07/1/2026-06/31/2027",https://www.usaspending.gov/award/CONT_AWD_70FA3124F00000049_7022_75N98120D00191_7529,CONT_AWD_70FA3124F00000049_7022_75N98120D00191_7529
THE CENTECH GROUP INC.,GB4LSAFPM513,1090407.03,75P00123F80048,Department of Health and Human Services,Office of the Assistant Secretary for Financial Resources,OMAS STRATEGIC BUYING CENTER - HHS MISSION,541512 — Computer Systems Design Services,CHANTILLY,VA,UNITED STATES,2026-08-26,2023-03-02,2027-02-01,"THE SECURITY MANAGER (SM) APPLICATION IS AN ENTERPRISE SOLUTION THAT SUPPORTS THE ONS DPS AND HHS STAKEHOLDERS. ONS VIA SOFTWARE LICENSES FROM THE INCUMBENT CONTRACTOR, CENTECH, HAS BEEN PROVIDING MAINTENANCE AND LIFE CYCLE OF ONS PERSONNEL SECURITY",https://www.usaspending.gov/award/CONT_AWD_75P00123F80048_7570_47QTCA18D00GB_4732,CONT_AWD_75P00123F80048_7570_47QTCA18D00GB_4732
TCG INC,DRUNBSXBERD5,1056679.55,75N90022F00001,Department of Health and Human Services,National Institutes of Health,NATIONAL INSTITUTES OF HEALTH - CC,541512 — Computer Systems Design Services,BETHESDA,MD,UNITED STATES,2026-08-25,2022-08-25,2027-08-31,"BIOSTATISTICIAN SUPPORT SERVICES TCG, INC.:1108529 [22-009001]",https://www.usaspending.gov/award/CONT_AWD_75N90022F00001_7529_HHSN316201200178W_7529,CONT_AWD_75N90022F00001_7529_HHSN316201200178W_7529
"AQUILENT, INC.",LKBNKN1EA6J1,1000931.14,HHSP23337050,Department of Health and Human Services,Office of the Assistant Secretary for Administration,PROGRAM SUPPORT CENTER ACQ MGMT SVC,541512 — Computer Systems Design Services,WASHINGTON,DC,UNITED STATES,2026-08-26,2015-08-27,2016-08-26,IGF::CT::IGF,https://www.usaspending.gov/award/CONT_AWD_HHSP23337050_7555_HHSP233201300057B_7555,CONT_AWD_HHSP23337050_7555_HHSP233201300057B_7555
ASCLEPIUS SOLUTIONS INC,LKVVZXZFRHM6,974395.00,75N91021F00243,Department of Health and Human Services,National Institutes of Health,NIH NCI,541512 — Computer Systems Design Services,KENSINGTON,MD,UNITED STATES,2026-08-24,2021-09-01,2022-06-30,PROJECT MANAGEMENT AND APPLICATION SUPPORT SERVICES FOR DATA MANAGEMENT SYSTEMS MANAGED BY THE NCI OFFICE OF INFORMATION TECHNOLOGY (OIT),https://www.usaspending.gov/award/CONT_AWD_75N91021F00243_7529_GS06F1077Z_4732,CONT_AWD_75N91021F00243_7529_GS06F1077Z_4732
STRATEGIC OPERATIONAL SOLUTIONS INC,FCJYHNPMDK55,967383.50,70CTD026FR0000014,Department of Homeland Security,U.S. Immigration and Customs Enforcement,INFORMATION TECHNOLOGY DIVISION,541512 — Computer Systems Design Services,WASHINGTON,DC,UNITED STATES,2026-08-26,2026-04-01,2027-03-29,"THIS TASK ORDER PROVIDES OPERATIONS & MAINTENANCE SUPPORT SERVICES HOMELAND SECURITY INVESTIGATIONS, COUNTER THREAT LEAD DEVELOPMENT FOR IT SUPPORT TO MAINTAIN THE LEADTRAC APPLICATION AND BUSINESS PROCESSES IN SUPPORT OF MISSION REQUIREMENTS.",https://www.usaspending.gov/award/CONT_AWD_70CTD026FR0000014_7012_75N98119D00004_7529,CONT_AWD_70CTD026FR0000014_7012_75N98119D00004_7529
SAGACITY VENTURES LLC,H1S1ULWVRYK8,959247.88,75F40123F80217,Department of Health and Human Services,Food and Drug Administration,FDA OFFICE OF ACQ  GRANT SVCS,541512 — Computer Systems Design Services,ALEXANDRIA,VA,UNITED STATES,2026-08-24,2023-07-26,2024-09-26,BIMO PROGRAM STRATEGIC SUPPORT,https://www.usaspending.gov/award/CONT_AWD_75F40123F80217_7524_47QTCB21D0429_4732,CONT_AWD_75F40123F80217_7524_47QTCB21D0429_4732
"HLN CONSULTING, LLC",XNSKEB3136G3,946767.34,75D30124F20085,Department of Health and Human Services,Centers for Disease Control and Prevention,CDC OFFICE OF ACQUISITION SERVICES,541512 — Computer Systems Design Services,PROVIDENCE,RI,UNITED STATES,2026-08-25,2024-09-17,2027-06-30,RHODE ISLAND KIDSNET OPERATIONS AND MAINTENANCE (O&M) AND SUPPORT SERVICES,https://www.usaspending.gov/award/CONT_AWD_75D30124F20085_7523_47QTCA22D002B_4732,CONT_AWD_75D30124F20085_7523_47QTCA22D002B_4732
DV UNITED LLC,HCBJCK2G9EM1,621590.31,70FA3124F00000078,Department of Homeland Security,Federal Emergency Management Agency,INFORMATION TECHNOLOGY DEVELOPMENT AND SUSTAINMENT,541512 — Computer Systems Design Services,WASHINGTON,DC,UNITED STATES,2026-08-24,2024-09-30,2025-09-29,ENTERPRISE ARCHITECTURE TECHNOLOGY INNOVATION PROFESSIONAL SERVICES (EATIPS),https://www.usaspending.gov/award/CONT_AWD_70FA3124F00000078_7022_HHSN316201200060W_7529,CONT_AWD_70FA3124F00000078_7022_HHSN316201200060W_7529
TRIPLE POINT SECURITY INC,XSJMFUNCEAA8,595830.84,75N98026F00318,Department of Health and Human Services,National Institutes of Health,NATIONAL INSTITUTES OF HEALTH OLAO,541512 — Computer Systems Design Services,BETHESDA,MD,UNITED STATES,2026-08-28,2026-09-01,2027-08-31,NHGRI IT CLOUD SUPPORT SERVICES,https://www.usaspending.gov/award/CONT_AWD_75N98026F00318_7529_47QTCA19D004D_4732,CONT_AWD_75N98026F00318_7529_47QTCA19D004D_4732
INTEGRATED SECURITY TECHNOLOGIES INC.,SKN4AVY6ZJ53,508496.31,70FA5024F00000149,Department of Homeland Security,Federal Emergency Management Agency,NATIONAL CONTINUITY SECTION(CON50),541512 — Computer Systems Design Services,WAIPAHU,HI,UNITED STATES,2026-08-25,2024-09-04,2027-09-03,FOC AND ORR COOP AV MAINTENANCE AGREEMENT,https://www.usaspending.gov/award/CONT_AWD_70FA5024F00000149_7022_47QTCB22D0446_4732,CONT_AWD_70FA5024F00000149_7022_47QTCB22D0446_4732
COLOSSAL CONTRACTING LLC,F4M9NB1HD785,426726.10,70FA5025F00000018,Department of Homeland Security,Federal Emergency Management Agency,NATIONAL CONTINUITY SECTION(CON50),541512 — Computer Systems Design Services,ANNAPOLIS,MD,UNITED STATES,2026-08-24,2025-01-07,2027-01-09,PROCURE AN EMERGENCY CONFERENCING AND ALERTING NOTIFICATION SYSTEM SOFTWARE PACKAGE,https://www.usaspending.gov/award/CONT_AWD_70FA5025F00000018_7022_75N98118D00006_7529,CONT_AWD_70FA5025F00000018_7022_75N98118D00006_7529
