awardee,uei,amount,piid,awarding_agency,awarding_sub_agency,awarding_office,naics,pop_city,pop_state,pop_country,action_date,start_date,end_date,description,source_url,generated_unique_award_id
PATRIOT LLC,LYMKSJG6DLQ5,45392124.77,70B04C20F00001438,Department of Homeland Security,U.S. Customs and Border Protection,INFORMATION TECHNOLOGY CONTRACTING DIVISION,541512 — Computer Systems Design Services,LORTON,NE,UNITED STATES,2026-08-25,2020-09-29,2026-06-15,"PROCUREMENT OF PROGRAM MANAGEMENT, CUSTOMER-FOCUSED TECHNOLOGY SERVICE DESK SUPPORT FOR TIER 1 INTERNAL AND EXTERNAL OPERATIONS, AUTOMATED COMMERCIAL ENVIRONMENT (ACE) ACCOUNT SERVICE DESK (ASD), AND ADVANCED SUPPORT OPERATIONS",https://www.usaspending.gov/award/CONT_AWD_70B04C20F00001438_7014_HHSN316201200065W_7529,CONT_AWD_70B04C20F00001438_7014_HHSN316201200065W_7529
ALPHA OMEGA INTEGRATION LLC,NF34JCA2PME3,44147081.47,70CTD020FR0000280,Department of Homeland Security,U.S. Immigration and Customs Enforcement,INFORMATION TECHNOLOGY DIVISION,541512 — Computer Systems Design Services,WASHINGTON,DC,UNITED STATES,2026-08-28,2020-09-29,2026-03-31,"ICE REQUIRES INFORMATION TECHNOLOGY PROGRAM MANAGEMENT SUPPORT (ITPMS) SERVICES TO SUPPORT THE DEPARTMENT OF HOMELAND SECURITY, IMMIGRATION AND CUSTOMS ENFORCEMENT (ICE), HOMELAND SECURITY INVESTIGATION (HSI) PORTFOLIO BRANCH.",https://www.usaspending.gov/award/CONT_AWD_70CTD020FR0000280_7012_HHSN316201200182W_7529,CONT_AWD_70CTD020FR0000280_7012_HHSN316201200182W_7529
"ANDURIL INDUSTRIES, INC.",KC3CH2MSK7Q3,41852694.56,70B02C25F00000422,Department of Homeland Security,U.S. Customs and Border Protection,AIR AND MARINE CONTRACTING DIVISION,541512 — Computer Systems Design Services,COSTA MESA,CA,UNITED STATES,2026-08-25,2025-08-01,2027-06-30,S1 APPROVED AWARD FOR DELIVERY ORDER 18,https://www.usaspending.gov/award/CONT_AWD_70B02C25F00000422_7014_70B02C20D00000019_7014,CONT_AWD_70B02C25F00000422_7014_70B02C20D00000019_7014
DELOITTE CONSULTING LLP,CKV2L9GZKJK3,28578126.83,75N98023F00004,Department of Health and Human Services,National Institutes of Health,NATIONAL INSTITUTES OF HEALTH OLAO,541512 — Computer Systems Design Services,ALEXANDRIA,VA,UNITED STATES,2026-08-25,2023-09-15,2027-09-14,DELOITTE CONSULTING LLP:1167543 [23-003351],https://www.usaspending.gov/award/CONT_AWD_75N98023F00004_7529_HHSN316201200018W_7529,CONT_AWD_75N98023F00004_7529_HHSN316201200018W_7529
INTERNATIONAL BUSINESS MACHINES CORPORATION,VV9KH3L99VE3,27584513.80,70SBUR25F00000032,Department of Homeland Security,U.S. Citizenship and Immigration Services,USCIS CONTRACTING OFFICE(ERBUR),541512 — Computer Systems Design Services,WILLISTON,VT,UNITED STATES,2026-08-24,2025-08-08,2027-03-01,"AWARD, ARCHITECTURE ENGINEERING SUPPORT (AES) SERVICES, USCIS ENTERPRISE INFRASTRUCTURE DIVISION. EXCLUSION 2(D). CONTRACTOR SUPPORT TO DESIGN AND MAINTAIN THE AGENCY'S NETWORKS, SUPPORTING ITS DATA CENTERS AND CLOUD SYSTEMS, AND ENSURING ALL PL",https://www.usaspending.gov/award/CONT_AWD_70SBUR25F00000032_7003_47QTCK18D0014_4732,CONT_AWD_70SBUR25F00000032_7003_47QTCK18D0014_4732
"COMPUTER WORLD SERVICES, CORP.",SELVLQN46MM7,22284500.54,70RDA124FR0000045,Department of Homeland Security,Office of Procurement Operations,DEPARTMENTAL OPERATIONS ACQUISITIONS DIVISION I,541512 — Computer Systems Design Services,FALLS CHURCH,VA,UNITED STATES,2026-08-24,2024-09-17,2028-09-16,SYSTEMS ENGINEERING AND TEST SUPPORT (SETS) RECOMPETE,https://www.usaspending.gov/award/CONT_AWD_70RDA124FR0000045_7001_HHSN316201300001W_7529,CONT_AWD_70RDA124FR0000045_7001_HHSN316201300001W_7529
"A1M SOLUTIONS, INC.",ZPGUVM99QXX7,21975811.53,75FCMC24F0170,Department of Health and Human Services,Centers for Medicare and Medicaid Services,OFC OF ACQUISITION AND GRANTS MGMT,541512 — Computer Systems Design Services,CHICO,CA,UNITED STATES,2026-08-27,2024-09-09,2026-11-06,"DSG HAS MADE IMPROVEMENTS IN PORTFOLIO MANAGEMENT, ENSURING COHESION AND TRACEABILITY. THERE IS AN OPPORTUNITY FOR THE DATA SYSTEMS GROUP (DSG) TO BUILD ON THIS PROGRESS AND ENTER ITS NEXT PHASE OF TRANSFORMATION. DSG DESIRES TO CONTINUE THIS MOMEN",https://www.usaspending.gov/award/CONT_AWD_75FCMC24F0170_7530_47QTCA21D006V_4732,CONT_AWD_75FCMC24F0170_7530_47QTCA21D006V_4732
"GOLDMAN EDWARDS - TANTUS TECHNOLOGIES, LLC",NKRBEEFHXN47,18934145.78,75FCMC26F0065,Department of Health and Human Services,Centers for Medicare and Medicaid Services,OFC OF ACQUISITION AND GRANTS MGMT,541512 — Computer Systems Design Services,WINDSOR MILL,MD,UNITED STATES,2026-08-26,2026-04-23,2027-04-22,"THE CENTERS FOR MEDICARE & MEDICAID SERVICES (CMS) CENTER FOR CLINICAL STANDARDS AND QUALITY (CCSQ) REQUIRES COMPREHENSIVE SECURITY, INNOVATION, AND OPERATIONS (SIO) SUPPORT TO ADVANCE ITS CRITICAL MODERNIZATION INITIATIVE. THIS REQUIREMENT ADDRESSES",https://www.usaspending.gov/award/CONT_AWD_75FCMC26F0065_7530_47QTCA23D003V_4732,CONT_AWD_75FCMC26F0065_7530_47QTCA23D003V_4732
OASYS INTERNATIONAL LLC,FJX9CNNLEM21,17872179.47,70Z03825FM0000025,Department of Homeland Security,U.S. Coast Guard,AVIATION LOGISTICS CENTER (ALC)(00038),541512 — Computer Systems Design Services,ELIZABETH CITY,NC,UNITED STATES,2026-08-26,2025-09-18,2026-07-17,PROFESSIONAL INFORMATION TECHNOLOGY SERVICES TO SUPPORT THE AVIATION LOGISTICS CENTER AND INFORMATION SYSTEMS DIVISION.,https://www.usaspending.gov/award/CONT_AWD_70Z03825FM0000025_7008_47QTCH18D0006_4732,CONT_AWD_70Z03825FM0000025_7008_47QTCH18D0006_4732
INCENTIVE TECHNOLOGY GROUP LLC,CGTWKQ7DSVD7,13277942.82,75P00119F80217,Department of Health and Human Services,Office of the Assistant Secretary for Administration,PROGRAM SUPPORT CENTER ACQ MGMT SVC,541512 — Computer Systems Design Services,WASHINGTON,DC,UNITED STATES,2026-08-25,2019-09-30,2024-10-11,INNOVATE  MODERNIZE AND IMPROVE THE HHS FINANCIAL MANAGEMENT ENVIRONMENT,https://www.usaspending.gov/award/CONT_AWD_75P00119F80217_7570_HHSN316201200134W_7529,CONT_AWD_75P00119F80217_7570_HHSN316201200134W_7529
RELI GROUP INC,ZZEFBLYZN5B1,12859897.10,75FCMC25FJ070,Department of Health and Human Services,Centers for Medicare and Medicaid Services,OFC OF ACQUISITION AND GRANTS MGMT,541512 — Computer Systems Design Services,CATONSVILLE,MD,UNITED STATES,2026-08-26,2025-06-30,2026-11-29,NATIONAL PLAN AND PROVIDER ENUMERATION SYSTEM (NPPES) OPERATIONS & MAINTENANCE (O&M). THE GOVERNMENT IS ISSUING A SOLE SOURCE FOLLOW ON UNDER THE STRATEGIC PARTNERS ACQUISITION READINESS CONTRACT (SPARC) INDEFINITE DELIVERY/INDEFINITE QUANTITY (IDIQ),https://www.usaspending.gov/award/CONT_AWD_75FCMC25FJ070_7530_HHSM500201700045I_7530,CONT_AWD_75FCMC25FJ070_7530_HHSM500201700045I_7530
"FU ASSOCIATES, LTD.",WA2ND8JX9KQ5,12545471.16,75FCMC23F0145,Department of Health and Human Services,Centers for Medicare and Medicaid Services,OFC OF ACQUISITION AND GRANTS MGMT,541512 — Computer Systems Design Services,ARLINGTON,VA,UNITED STATES,2026-08-27,2023-09-13,2027-09-12,"THE PURPOSE OF THIS TASK ORDER IS TO REFINE, TEST, IMPLEMENT, AND MAINTAIN THE MCIM SUITE AND RELATED SPECIAL PROJECTS.  THE CONTRACTOR SHALL PROVIDE THE NECESSARY AND ESSENTIAL DEVELOPMENT, OPERATIONS, AND CUSTOMER SUPPORT FOR CMS.  THE CONTRACTOR",https://www.usaspending.gov/award/CONT_AWD_75FCMC23F0145_7530_GS35F257GA_4732,CONT_AWD_75FCMC23F0145_7530_GS35F257GA_4732
CANDOR SOLUTIONS LLC,JSL9E59CT6J9,10689367.15,70RTAC23FR0000002,Department of Homeland Security,Office of Procurement Operations,INFO TECH ACQ CENTER,541512 — Computer Systems Design Services,UPPER MARLBORO,MD,UNITED STATES,2026-08-28,2023-04-28,2027-04-27,"THE PURPOSE OF THIS TASK ORDER IS TO ACQUIRE ASSET MANAGEMENT SUPPORT SERVICES FOR THE DEPARTMENT OF HOMELAND SECURITY (DHS), OFFICE OF THE CHIEF INFORMATION OFFICER (OCIO), INFORMATION TECHNOLOGY OPERATIONS (IT OPS), HEADQUARTERS OPERATIONS DIRECTOR",https://www.usaspending.gov/award/CONT_AWD_70RTAC23FR0000002_7001_HHSN316201200110W_7529,CONT_AWD_70RTAC23FR0000002_7001_HHSN316201200110W_7529
"ANDURIL INDUSTRIES, INC.",KC3CH2MSK7Q3,9023087.16,70B02C26F00000661,Department of Homeland Security,U.S. Customs and Border Protection,AIR AND MARINE CONTRACTING DIVISION,541512 — Computer Systems Design Services,IRVINE,CA,UNITED STATES,2026-08-25,2026-08-25,2027-08-24,TOWER RELOCATIONS AND SOFTWARE INTEGRATION,https://www.usaspending.gov/award/CONT_AWD_70B02C26F00000661_7014_70B02C20D00000019_7014,CONT_AWD_70B02C26F00000661_7014_70B02C20D00000019_7014
NEXTECH LINTECH LLC,E61WLJBALR66,8786838.88,70RTAC24FR0000028,Department of Homeland Security,Office of Procurement Operations,INFO TECH ACQ CENTER,541512 — Computer Systems Design Services,SPRINGFIELD,VA,UNITED STATES,2026-08-26,2024-03-06,2027-03-10,"THE PURPOSE OF THIS REQUIREMENT IS TO PROCURE HSIN EXTERNAL FACING TIER I, II, AND OPERATIONS SUPPORT.",https://www.usaspending.gov/award/CONT_AWD_70RTAC24FR0000028_7001_47QTCB22D0218_4732,CONT_AWD_70RTAC24FR0000028_7001_47QTCB22D0218_4732
SIKICH FEDERAL INC.,HG5EUM78L3Y9,8622685.04,75N95023F00001,Department of Health and Human Services,National Institutes of Health,NATIONAL INSTITUTES OF HEALTH NIDA,541512 — Computer Systems Design Services,ROCKVILLE,MD,UNITED STATES,2026-08-27,2023-08-28,2026-09-27,"PLANNING, DEVELOPMENT, AND MAINTENANCE OF A GRANTS AND CONTRACTS INITIATIVE TRACKING SYSTEM FOR THE NATIONAL INSTITUTE ON AGING (NIA) EXTRAMURAL RESEARCH PROGRAM (ERP).",https://www.usaspending.gov/award/CONT_AWD_75N95023F00001_7529_HHSN316201200177W_7529,CONT_AWD_75N95023F00001_7529_HHSN316201200177W_7529
TRIPLE POINT SECURITY INC,XSJMFUNCEAA8,8467010.67,75N92023F00001,Department of Health and Human Services,National Institutes of Health,NATIONAL INSTITUTES OF HEALTH NHLBI,541512 — Computer Systems Design Services,LEESBURG,VA,UNITED STATES,2026-08-28,2023-08-30,2026-08-29,NHLBI ENTERPRISE ARCHITECTURE AND CYBER SECURITY SUPPORT FOR DATA SCIENCE PROGRAMS,https://www.usaspending.gov/award/CONT_AWD_75N92023F00001_7529_75N92023A00005_7529,CONT_AWD_75N92023F00001_7529_75N92023A00005_7529
